artist_name,event_location,event_title,event_day,event_start_time,event_summary,source_url
Abbi Lawson,Table,From Hedge to Home,Friday,18:30,"Great British Bake Off contestant Abbi Lawson takes us on a food journey from the hedgerows of Britain right to the Table kitchen. Using seasonal food and foraging, Abbi will be looking at the connections between food, environment and place.",https://www.greenbelt.org.uk/artists/abbi-lawson/?back=1
Alice Robinson,Hot House,"Field, Fork, Fashion",Sunday,13:00,"Exploring the true meaning of provenance, value and beauty, and how this must be a part of our decision making around the clothes we buy, the food we eat, and the farming and fibre systems we are all part of.",https://www.greenbelt.org.uk/artists/alice-robinson/?back=1
Akram Abdulfattah,Glade,Akram Abdulfattah,Sunday,16:45,"Defying gravity and classification, Akram trades dazzling, smooth, sinewy violin lines with a tight and accomplished band in a style clearly bearing the hallmarks of his Middle Eastern heritage whilst encompassing jazz, folk, funk, rock and more.",https://www.greenbelt.org.uk/artists/akram-abdulfattah/?back=1
Andy Robertson,Lawn,Joust,Friday,19:00,"Come and play Joust, the tactical theatrical PlayStation game you play in a field, without any kind of screen. It’s become a regular Greenbelt favourite. We’ll hunt zombies, save the villagers and find out who the champion jouster is. Family gaming fun that’s great for kids and adults alike.",https://www.greenbelt.org.uk/artists/jousting-with-andy-robertson/?back=1
Andy Robertson,Residency,Gaming in Generative Worlds,Saturday,18:30,Discover emigration stories while you cook Indian dishes from lost recipes. Record the sounds of a soon-to-be-lost valley community. These surprising spaces offer even reluctant digital nomads new ways to hope.,https://www.greenbelt.org.uk/artists/jousting-with-andy-robertson/?back=1
Andy Robertson,Residency,Extended Play,Saturday,20:00,Stay with Andy and Fede after the session for more time to explore the games and ask questions.,https://www.greenbelt.org.uk/artists/jousting-with-andy-robertson/?back=1
Andy Robertson,Lawn,Joust,Sunday,19:00,"Come and play Joust, the tactical theatrical PlayStation game you play in a field, without any kind of screen. It’s become a regular Greenbelt favourite. We’ll hunt zombies, save the villagers and find out who the champion jouster is. Family gaming fun that’s great for kids and adults alike.",https://www.greenbelt.org.uk/artists/jousting-with-andy-robertson/?back=1
Alien Chicks,Rebel Rouser,Alien Chicks,Saturday,21:45,"Big guitars and big energy: Alien Chicks are the darling of grassroots venues across the country, as well as English Teacher’s recent tour support. Their fun, punchy, punk onslaught is informed by jazz, rap, bossa nova, and math rock.",https://www.greenbelt.org.uk/artists/alien-chicks/?back=1
Anar,No Fly Zone,Narratives of Hope,Friday,13:30,"How do we hold to our ideals in the midst of reality? A drama workshop, bringing us together – live from Bethlehem – with young people in Palestine.",https://www.greenbelt.org.uk/artists/anar/?back=1
Andrew Rumsey,Canopy,Evensongs,Friday,15:00,"The centre of a unique Venn diagram, songsmith/author/bishop Andrew sings of lost places and their hope of return. Championed by Radio 2’s Mark Radcliffe, Andrew is the exemplar of the literate troubadour: evocative words and psych-folk stylings.",https://www.greenbelt.org.uk/artists/andrew-rumsey/?back=1
Amos Trust,yoURCafe,Palestine Today #1,Friday,19:00,"Hosted by Sally Assam from Nazareth, this chat show features Palestinian guests and discusses the ‘facts on the ground’ in Gaza and the West Bank, and why our advocacy is so important. With mint tea and balkalva.",https://www.greenbelt.org.uk/artists/amos/?back=1
Amos Trust,yoURCafe,Palestine Today #2,Saturday,19:00,"Hosted by Sally Assam from Nazareth, this chat show features Palestinian guests and discusses the ‘facts on the ground’ in Gaza and the West Bank, and why our advocacy is so important. With mint tea and balkalva.",https://www.greenbelt.org.uk/artists/amos/?back=1
