artist_name,event_location,event_title,event_day,event_start_time,event_summary,source_url
666 COMMENTS presented by Aliki Chapple in association with LittleMighty,Playhouse,666 COMMENTS,Monday,11:15,"666 Comments  presented by Aliki Chapple in association with LittleMighty  In October 2010 cartoonist Gabby Schulz posted a comic strip on his website. It was about online sexism. What could possibly go wrong? Over the next three days the comic went viral and the comments went bananas. 666 Comments is an attempt to stage that comment thread. Hilarious, provocative and occasionally plain terrifying, 666 Comments brings the virtual world into astonishingly vivid reality.  Suitable for ages 14+ Duration: 60 mins",https://www.greenbelt.org.uk/artists/666-comments-presented-by-aliki-chapple-in-association-with-littlemighty/?back=1
AMOS,Tapestry Suite,On Location,Saturday,11:30,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Rebel Rouser,Growing up in Gaza,Saturday,14:00,"Palestinian artist Malak Mattar was six years old when the blockade of Gaza started. Fifteen years later, the siege continues, and Malak has survived four major Israeli attacks. Then, in 2014, as fighter jets pummelled Gaza for 52 days, Malak (aged 14), fearing for her life, picked up a watercolour set she had been given at school but never used.  Hear about Malak’s story of growing up in Gaza, the response on social media to her first paintings and how she hopes to use her art to critique patriarchy and show a side of Gaza not covered on news bulletins.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Treehouse,"When Words Fail, Art Speaks",Saturday,15:30,"On Location is Amos Trust’s new project – promoting, supporting and celebrating the power, resilience and vibrancy of the artistic community living and working under siege in Gaza. To coincide with their On Location exhibition, hear Malak Mattar, Brian Eno and guests discuss art, creativity and what it's like to live under siege in Gaza for 15 years.  With Gazan artist Malak Mattar and musician, producer, visual artist and activist, Brian Eno, and guests.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Saturday,10:00,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Sunday,14:00,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Sunday,15:30,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Monday,10:00,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Monday,11:30,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Monday,13:00,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
AMOS,Tapestry Suite,On Location,Monday,14:30,"On Location is a new project from Amos Trust which promotes, supports and celebrates the power, resilience and vibrancy of the artistic community living and working under siege in Gaza today. For Greenbelt, this means a digital exhibition, but in the future, they hope to be able to show their work ‘in real life’.   Please queue at the gate at the top of The Lawn to be taken to the exhibition. Access to the Tapestry Suite is up a flight of wide, shallow stairs. A wheelchair platform lift is available.",https://www.greenbelt.org.uk/artists/amos/?back=1
Anaïs Mitchell,Glade,Anaïs Mitchell,Friday,19:45,"NPR has called Anaïs – holder of eight Tony Awards and a Grammy - “one of the greatest songwriters of her generation”.  In a style suggestive of an alt-country Suzanne Vega, she explores the vicissitudes of the human condition. As she notes on Bright Star, off her latest (eponymous) album, “we have sung in tongues of angels and then stumbled on the pavement”.",https://www.greenbelt.org.uk/artists/anais-mitchell/?back=1
Alternative Eucharist,Ta Dah,Wake Up and Dream,Saturday,12:00,"Dreams aren’t just for sleep. We need to WAKE UP and dream bigger if we’re going to change the world. So come and make noise, make craft, make a difference and learn about God our Maker, who calls us to be seen and heard as partners is making all things new. Dare to dream big together!  The Goth/Alt All-Age team is a group of creative teens and adults committed to helping Christians of all ages ask the tough questions.",https://www.greenbelt.org.uk/artists/goth-eucharist-2/?back=1
Alternative Eucharist,Shelter,Alternative Eucharist,Saturday,20:00,"Put your hopes, your hurts, your friends, your fears, longings and loves, dreams and tears with the bread and wine on Jesus' table and draw as near as you are able, for a blend of tradition and innovation, introspection and exploration, on the raggedy edge of the festival site, between the new day and the end of the night.  All welcome!  The happy-in-black sheep of the Greenbelt family, we are a diverse group of Christians from the Goth/Alternative community coming from all over the UK and from various traditions.",https://www.greenbelt.org.uk/artists/goth-eucharist-2/?back=1
Andrew Jones,Treehouse,In the Metaverse as in Heaven,Monday,13:00,"As we move towards the metaverse and Web3, how should we prepare? How will virtual, augmented and meta ‘realities’ affect our spiritual experiences and religious rites? What new opportunities exist for us as we wake up to church in the metaverse? Andrew Jones – aka Tall Skinny Kiwi – has variously been a blogger, social entrepreneur, international aid worker, church developer and pastor.",https://www.greenbelt.org.uk/artists/andrew-jones/?back=1
Amelia Horgan,Rebel Rouser,Lost in Work: Escaping Capitalism,Sunday,12:30,"Work hard, get paid.' It's simple. Self-evident. But it's also a lie—at least for most of us. For people today, the old assumptions are crumbling; hard work in school no longer guarantees a secure, well-paying job in the future. Far from a gateway to riches and fulfilment, 'work' means precarity, anxiety and alienation. Amelia Horgan’s new book poses three big questions: what is work? How does it harm us? And what can we do about it?  Amelia Horgan is a writer, researcher and editor from London.  Amelia will be in conversation with Dan Tomlinson.",https://www.greenbelt.org.uk/artists/amelia-horgan/?back=1
